#{"t_start": 1686314906.9375455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
160.0,1863,1026.62114
90.0,1435,1027.927729
40.0,1939,1029.717791
305.0,3331,1032.814809
470.0,2757,1035.357909
130.0,1781,1037.024448
60.0,1755,1038.767278
185.0,2589,1041.225525
185.0,2021,1043.140052
140.0,1581,1044.63366
50.0,1175,1045.736328
440.0,2875,1048.474307
95.0,1327,1049.706864
100.0,1583,1051.186799
105.0,1645,1052.719607
170.0,1967,1054.575826
25.0,1551,1056.102301
55.0,1371,1057.413955
75.0,1487,1058.82499
255.0,2379,1061.216507
475.0,3681,1069.270719
140.0,1785,1070.944231
155.0,1791,1072.582735
150.0,1937,1074.356073
145.0,2223,1076.410908
305.0,2523,1078.738559
85.0,1465,1080.090495
50.0,1851,1081.809623
345.0,2531,1084.167529
225.0,2037,1086.23043
175.0,1845,1087.916906
245.0,3067,1090.750068
195.0,1909,1092.486787
195.0,1977,1094.295466
270.0,2627,1096.767571
550.0,3049,1099.607697
415.0,3297,1102.726156
365.0,2665,1105.277977
100.0,1029,1106.244827
225.0,2217,1108.479466
410.0,2979,1111.329073
210.0,2061,1113.298328
130.0,2009,1115.227209
130.0,1911,1117.052855
520.0,3259,1120.140885
260.0,2391,1122.420207
400.0,2529,1124.804595
340.0,2580,1127.274041
215.0,2311,1129.583322
270.0,2679,1132.114226
135.0,1345,1133.364244
230.0,2683,1135.910178
150.0,3131,1138.861014
160.0,2171,1140.908088
200.0,1935,1142.660143
110.0,1957,1144.441904
270.0,2165,1146.401179
50.0,1313,1147.601415
330.0,2671,1150.043799
350.0,2869,1152.815747
225.0,3299,1155.874966
360.0,2793,1158.428618
370.0,2705,1160.899671
220.0,1803,1162.541368
335.0,2809,1171.157834
270.0,2527,1173.417904
445.0,4817,1177.902317
215.0,1931,1179.633433
135.0,1671,1181.131519
350.0,2757,1183.623877
165.0,2311,1185.721346
400.0,3221,1188.63437
155.0,1733,1190.234241
260.0,2125,1192.151035
210.0,2451,1194.37698
260.0,2415,1196.570152
285.0,2903,1199.226374
155.0,2619,1201.623994
180.0,1731,1203.241854
370.0,2665,1205.776358
465.0,3055,1208.563706
80.0,1311,1209.754209
210.0,1595,1211.201678
200.0,2365,1213.364707
230.0,1997,1215.17599
530.0,2919,1217.832346
410.0,2575,1220.205179
165.0,1523,1221.593827
130.0,1501,1222.94743
440.0,3417,1226.139651
260.0,2965,1229.042167
110.0,1615,1230.520314
235.0,2417,1232.728873
150.0,2121,1234.668763
305.0,3473,1237.833998
190.0,1401,1239.119016
410.0,2779,1241.643064
320.0,2811,1244.274979
325.0,3285,1247.366084
670.0,3083,1250.297825
240.0,2681,1252.9043
435.0,3415,1256.095412
265.0,3201,1259.151441
225.0,1699,1260.74827
705.0,3671,1269.160751
240.0,2337,1271.524938
80.0,1121,1272.748078
250.0,1883,1274.82005
415.0,3971,1278.908728
265.0,2357,1281.210434
455.0,2721,1283.845128
140.0,1885,1285.668297
545.0,3425,1288.946378
545.0,4033,1292.808536
395.0,3345,1295.95328
50.0,1577,1297.407622
320.0,2339,1299.702883
265.0,2095,1301.647631
405.0,3350,1304.727154
220.0,2289,1306.84182
460.0,3939,1310.474441
415.0,2763,1313.021976
525.0,2597,1315.431545
265.0,2595,1317.837247
680.0,4759,1322.203458
245.0,2159,1324.203646
150.0,1933,1326.104786
305.0,2419,1328.320289
230.0,2941,1331.05186
420.0,3413,1334.205455
310.0,3194,1337.157641
300.0,2927,1339.859916
375.0,3907,1343.462958
395.0,3457,1346.636524
230.0,2351,1348.927295
365.0,3815,1352.454482
680.0,5005,1357.064692
115.0,1925,1358.83329
290.0,3165,1361.744334
485.0,4647,1374.374555
220.0,2589,1376.798786
405.0,2847,1379.4362
340.0,3492,1382.632067
210.0,2587,1384.982671
390.0,2935,1387.683511
370.0,2829,1390.30447
310.0,3311,1393.369991
215.0,2053,1395.339713
175.0,2025,1397.284038
455.0,3791,1400.968452
300.0,3143,1403.907427
195.0,2537,1406.265289
320.0,2940,1408.992157
410.0,3299,1412.037822
195.0,2775,1414.614664
450.0,3821,1418.146036
255.0,2249,1420.226609
300.0,3348,1423.353823
295.0,3219,1426.483179
365.0,2679,1428.963459
490.0,4015,1432.710983
280.0,2617,1435.158499
185.0,2705,1437.674714
440.0,2731,1440.215762
250.0,2255,1442.307104
180.0,1515,1443.721393
225.0,2333,1446.020967
105.0,1537,1447.452365
205.0,3187,1450.429517
95.0,1391,1451.704262
570.0,3569,1455.001796
470.0,3849,1458.577941
445.0,3049,1461.417373
390.0,3595,1464.763295
675.0,4001,1475.822496
225.0,2353,1478.037368
345.0,2759,1480.607149
165.0,2039,1482.490539
355.0,2775,1485.058773
145.0,1679,1486.663838
410.0,3505,1489.891657
80.0,1889,1491.641803
370.0,2857,1494.467739
245.0,2255,1496.589457
185.0,2075,1498.527775
360.0,2791,1501.131306
435.0,3107,1504.018355
440.0,3101,1506.927047
275.0,3085,1509.804491
180.0,2189,1511.934284
140.0,1823,1513.605488
545.0,5160,1518.410043
475.0,2667,1520.86386
290.0,2817,1523.435354
580.0,3565,1526.697062
570.0,3419,1529.876753
125.0,1433,1531.393442
600.0,4277,1535.591975
425.0,3829,1539.561658
515.0,4129,1543.758815
350.0,3273,1546.982845
295.0,2847,1549.681751
570.0,3984,1553.409055
305.0,2757,1556.008259
415.0,3239,1559.028738
415.0,2412,1561.300784
715.0,4929,1566.043072
385.0,3321,1569.182112
405.0,3993,1581.8342
50.0,1447,1583.184457
300.0,2521,1585.772602
365.0,3185,1588.986042
295.0,2847,1591.797005
350.0,3353,1595.085714
365.0,3625,1598.684036
405.0,3321,1601.900453
370.0,3089,1604.791981
420.0,3105,1607.711108
155.0,1885,1609.593685
710.0,4481,1613.782485
155.0,2321,1615.954971
240.0,2379,1618.181731
495.0,3923,1621.850503
305.0,2433,1624.196754
195.0,1603,1625.73396
140.0,1727,1627.393208
180.0,2153,1629.613942
545.0,3516,1632.976171
335.0,3270,1636.156332
260.0,2371,1638.402925
170.0,2131,1640.565267
510.0,2593,1643.265864
360.0,3531,1646.922194
435.0,2943,1649.752679
560.0,3831,1653.432747
415.0,4381,1657.73644
270.0,2619,1660.303785
180.0,1987,1662.202356
360.0,2514,1664.622805
155.0,2575,1667.131355
450.0,2849,1669.891106
355.0,3119,1672.874637
710.0,2665,1675.413348
165.0,2127,1677.421949
270.0,2419,1687.81197
800.0,4689,1692.252195
200.0,2247,1694.375652
555.0,4382,1698.518778
250.0,2779,1701.16785
415.0,2771,1703.77987
250.0,2911,1706.546743
350.0,3251,1709.748147
180.0,2149,1711.849767
390.0,3199,1714.996963
225.0,1865,1716.820383
190.0,2077,1718.847452
700.0,3573,1722.329432
250.0,2745,1724.977442
425.0,3015,1727.936878
370.0,3565,1731.471946
350.0,2805,1734.415341
240.0,2697,1736.9914
345.0,3307,1740.204566
310.0,2707,1743.073406
320.0,3379,1746.713476
105.0,2741,1749.708368
300.0,3215,1753.197817
235.0,2337,1755.628919
770.0,3683,1759.62528
350.0,2475,1762.465562
485.0,4271,1767.290501
385.0,3767,1771.566072
310.0,2703,1774.37649
365.0,3379,1777.654822
555.0,2561,1780.130852
510.0,3551,1783.693882
105.0,1497,1785.162006
500.0,3699,1788.968735
440.0,4087,1802.082305
470.0,3807,1805.927476
575.0,3807,1809.976716
340.0,2263,1812.343124
340.0,3169,1815.365095
80.0,1553,1816.794231
225.0,2831,1819.568712
470.0,3675,1822.979671
130.0,1753,1824.65476
280.0,2293,1826.75554
490.0,4209,1830.60099
70.0,1563,1832.036461
220.0,2453,1834.287253
570.0,4433,1838.330113
350.0,2583,1840.713883
385.0,3715,1844.304937
420.0,2991,1847.101416
515.0,3488,1850.370228
230.0,2805,1853.012423
495.0,3581,1856.434352
510.0,3431,1859.71923
280.0,2695,1862.285486
540.0,3094,1865.350671
460.0,3263,1868.381348
670.0,4833,1872.973444
485.0,3233,1876.031467
190.0,2733,1878.599709
290.0,3207,1881.605461
580.0,4249,1885.742954
315.0,2869,1888.671522
575.0,4149,1892.794953
525.0,4569,1907.279965
660.0,3433,1911.018647
95.0,1743,1912.902197
665.0,3865,1916.834321
190.0,2211,1918.910986
375.0,3285,1922.007473
